gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_12_length_164930_cov_51.866538_1	97	426	330	-1	0.352	11	None	GENOMAD.132682.CP	7.954e-10	57	0	0	0	1	NA	NA	NA	PF01614;PF08279;K20329;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
NODE_12_length_164930_cov_51.866538_2	470	1675	1206	-1	0.444	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_3	1690	3213	1524	-1	0.415	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_4	3275	4036	762	-1	0.388	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_5	4066	4854	789	-1	0.431	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_6	5166	6320	1155	1	0.431	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_7	6349	7662	1314	1	0.401	11	GGAG/GAGG	GENOMAD.158163.CP	0.000464	45	0	0	0	1	NA	NA	NF033135	COG2223;K18553	Nitrate/nitrite transporter NarK
NODE_12_length_164930_cov_51.866538_8	7710	8378	669	1	0.425	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_9	8378	9031	654	1	0.422	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_10	9068	10384	1317	1	0.398	11	AGGA	GENOMAD.183341.CP	8.818e-50	187	0	0	0	1	NA	NA	NA	PF19577;COG3203	DcaP outer membrane protein
NODE_12_length_164930_cov_51.866538_11	10403	11623	1221	1	0.405	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_12	11640	12074	435	-1	0.434	11	AGGA	GENOMAD.190063.CP	0.0001509	43	0	0	0	1	NA	NA	NA	PF14539;K02614;TIGR00369;COG2050	phenylacetic acid degradation protein PaaD
NODE_12_length_164930_cov_51.866538_13	12395	14197	1803	1	0.415	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_14	14394	15197	804	1	0.427	11	GGA/GAG/AGG	GENOMAD.183741.CP	1.457e-31	127	0	0	0	1	NA	NA	NA	PF13622;COG1946;TIGR00189	Acyl-CoA thioesterase
NODE_12_length_164930_cov_51.866538_15	15257	18739	3483	-1	0.432	11	AGGAG	GENOMAD.137972.CP	1.341e-167	562	0	0	0	1	NA	NA	NA	PF01855;PF17147;K04090;TIGR03336;COG4231	indolepyruvate ferredoxin oxidoreductase, alpha subunit
NODE_12_length_164930_cov_51.866538_16	18944	19885	942	1	0.427	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_17	20137	21039	903	-1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_18	21036	23027	1992	-1	0.437	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_19	23039	23842	804	-1	0.443	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_20	23852	25453	1602	-1	0.448	11	AGGA	GENOMAD.114541.CP	3.849e-58	215	0	0	0	1	NA	NA	NA	PF01039;K01604;TIGR01117;COG4799	methylmalonyl-CoA decarboxylase alpha subunit
NODE_12_length_164930_cov_51.866538_21	25478	26650	1173	-1	0.438	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_164930_cov_51.866538_22	26795	27412	618	1	0.398	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
