seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NODE_107_length_8858_cov_100.784561	8858	DTR	12	11	0.9992	0.0008	0	6.9396	NA	NA
NODE_151_length_4585_cov_39.866511	4585	No terminal repeats	6	11	0.9992	0.0008	1	5.3633	MOBQ	NA
NODE_79_length_14138_cov_18.706017	14138	No terminal repeats	15	11	0.9991	0.0008	0	5.4435	NA	NF000466
NODE_57_length_23258_cov_29.165103	23258	No terminal repeats	30	11	0.9991	0.0008	0	3.3162	NA	NA
NODE_84_length_13156_cov_29.046051	13156	No terminal repeats	14	11	0.9991	0.0008	0	4.5867	NA	NA
NODE_78_length_14418_cov_21.102512	14418	No terminal repeats	13	11	0.9991	0.0009	0	4.3548	NA	NA
NODE_117_length_7842_cov_24.114452	7842	No terminal repeats	7	11	0.9991	0.0009	0	3.8232	NA	NA
NODE_76_length_14887_cov_41.984485	14887	No terminal repeats	16	11	0.9991	0.0009	0	3.0633	NA	NF012171
NODE_94_length_11796_cov_22.264718	11796	No terminal repeats	14	11	0.9989	0.0009	0	2.1587	NA	NA
NODE_99_length_10593_cov_30.163100	10593	No terminal repeats	7	11	0.9989	0.0009	0	1.0793	NA	NA
NODE_166_length_3820_cov_18.769293	3820	No terminal repeats	3	11	0.9987	0.0009	0	1.6954	NA	NA
NODE_29_length_37327_cov_45.280027	37327	No terminal repeats	36	11	0.9987	0.0010	0	2.3804	NA	NF033135
NODE_202_length_2686_cov_27.879640	2686	No terminal repeats	3	11	0.9985	0.0010	0	1.5689	NA	NA
NODE_77_length_14571_cov_14.398712	14571	No terminal repeats	17	11	0.9982	0.0011	0	4.2000	NA	NA
NODE_58_length_23214_cov_30.370252	23214	No terminal repeats	22	11	0.9982	0.0011	0	5.2451	NA	NA
NODE_145_length_5058_cov_11.610221	5058	No terminal repeats	8	11	0.9981	0.0012	0	1.3494	NA	NA
NODE_187_length_2920_cov_28.953813	2920	No terminal repeats	5	11	0.9976	0.0012	0	1.7640	NA	NA
NODE_34_length_33237_cov_32.499668	33237	No terminal repeats	29	11	0.9959	0.0014	0	2.3549	NA	NA
NODE_136_length_5418_cov_25.491589	5418	No terminal repeats	4	11	0.9951	0.0016	0	2.6447	NA	NA
NODE_44_length_29451_cov_40.576968	29451	No terminal repeats	24	11	0.9950	0.0018	0	3.0471	NA	NA
NODE_133_length_5839_cov_30.996499	5839	No terminal repeats	4	11	0.9940	0.0020	0	0.4273	NA	NA
NODE_160_length_4208_cov_17.001960	4208	No terminal repeats	5	11	0.9935	0.0022	0	0.9642	NA	NA
NODE_147_length_4837_cov_23.970064	4837	No terminal repeats	6	11	0.9926	0.0024	0	1.0037	NA	NA
NODE_103_length_10070_cov_17.565322	10070	No terminal repeats	11	11	0.9865	0.0029	0	0.5534	NA	NA
NODE_197_length_2712_cov_76.536170	2712	No terminal repeats	5	11	0.9828	0.0034	0	0.7392	NA	NF040806
NODE_47_length_27670_cov_34.925208	27670	No terminal repeats	29	11	0.9824	0.0040	0	3.8804	NA	NA
NODE_19_length_46039_cov_29.486605	46039	No terminal repeats	44	11	0.9797	0.0046	0	4.0381	NA	NA
NODE_130_length_6297_cov_26.669854	6297	No terminal repeats	6	11	0.9776	0.0052	0	0.5705	NA	NA
NODE_9_length_67516_cov_34.061998	67516	No terminal repeats	64	11	0.9773	0.0058	0	0.6194	NA	NF033135
NODE_189_length_2887_cov_11.648913	2887	No terminal repeats	3	11	0.9767	0.0064	0	1.0984	NA	NA
NODE_32_length_34791_cov_46.795148	34791	No terminal repeats	30	11	0.9766	0.0070	0	3.9842	NA	NF000237
NODE_119_length_7288_cov_30.301075	7288	No terminal repeats	5	11	0.9751	0.0075	0	0.4273	NA	NA
NODE_66_length_19356_cov_34.373654	19356	No terminal repeats	13	11	0.9747	0.0081	0	0.8891	NA	NA
