seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NODE_23_length_46432_cov_56.411316	46432	No terminal repeats	45	11	0.9991	0.0009	0	44.7272	NA	NA
NODE_91_length_14121_cov_59.184579	14121	No terminal repeats	20	11	0.9991	0.0009	0	26.1702	NA	NA
NODE_162_length_5818_cov_44.302934	5818	No terminal repeats	9	11	0.9991	0.0009	0	8.1898	NA	NA
NODE_149_length_7002_cov_17.472582	7002	No terminal repeats	7	11	0.9991	0.0009	0	2.9650	NA	NA
NODE_221_length_3535_cov_42.563674	3535	ITR	6	11	0.9991	0.0009	0	3.8739	NA	NA
NODE_1_length_138505_cov_58.257707	138505	No terminal repeats	121	11	0.9991	0.0009	8	111.1402	I_traW;I_traY;I_traI;I_traM;I_traN;traU	NA
NODE_238_length_3338_cov_4.789474	3338	No terminal repeats	3	11	0.9991	0.0009	0	1.7183	NA	NA
NODE_129_length_8515_cov_59.548045	8515	No terminal repeats	15	11	0.9991	0.0009	0	14.6228	NA	NA
NODE_141_length_7497_cov_16.475034	7497	No terminal repeats	6	11	0.9991	0.0009	0	6.4182	NA	NA
NODE_102_length_11743_cov_41.009642	11743	No terminal repeats	13	11	0.9991	0.0009	0	1.9395	NA	NA
NODE_112_length_10944_cov_24.984376	10944	No terminal repeats	12	11	0.9991	0.0009	0	0.3085	NA	NA
NODE_107_length_11413_cov_85.069910	11413	No terminal repeats	14	11	0.9991	0.0009	1	6.0082	MOBQ	NA
NODE_235_length_3386_cov_42.316662	3386	No terminal repeats	8	11	0.9990	0.0009	0	2.6521	NA	NA
NODE_174_length_5443_cov_74.571294	5443	No terminal repeats	8	11	0.9990	0.0009	1	1.4112	NA	NA
NODE_7_length_70586_cov_14.237046	70586	No terminal repeats	91	11	0.9990	0.0009	15	32.9396	t4cp2;F_traL;F_traE;F_traK;F_traB;F_traV;F_traW;F_traU;F_trbC;F_trbC;F_traF;F_traH;F_traG	NA
NODE_82_length_16324_cov_13.620856	16324	No terminal repeats	18	11	0.9990	0.0009	0	2.1550	NA	NA
NODE_167_length_5602_cov_53.630320	5602	No terminal repeats	8	11	0.9990	0.0009	0	0.3181	NA	NA
NODE_152_length_6638_cov_17.544463	6638	No terminal repeats	11	11	0.9990	0.0009	0	8.5682	NA	NA
NODE_185_length_4976_cov_20.259229	4976	No terminal repeats	5	11	0.9990	0.0009	0	1.3559	NA	NA
NODE_58_length_27787_cov_4.982791	27787	No terminal repeats	28	11	0.9990	0.0009	0	3.7488	NA	NA
NODE_304_length_2303_cov_1267.868566	2303	DTR	3	11	0.9990	0.0009	1	0.9502	NA	NA
NODE_105_length_11462_cov_7.253639	11462	No terminal repeats	13	11	0.9990	0.0009	0	1.5561	NA	NA
NODE_244_length_3220_cov_5.961526	3220	No terminal repeats	5	11	0.9989	0.0009	0	0.4902	NA	NA
NODE_63_length_25519_cov_8.058798	25519	No terminal repeats	24	11	0.9989	0.0009	0	0.8844	NA	NA
