gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_2_length_159602_cov_25.125179_1	1	108	108	1	0.370	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_2	353	541	189	-1	0.317	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_3	603	1871	1269	-1	0.359	11	TAA	GENOMAD.183341.CP	2.838e-259	794	0	0	0	1	NA	NA	NA	PF19577;COG3203	DcaP outer membrane protein
NODE_2_length_159602_cov_25.125179_4	2028	2705	678	-1	0.419	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_5	2916	3893	978	1	0.392	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_6	3965	5284	1320	1	0.395	11	TATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_7	5351	6049	699	-1	0.399	11	AAA	GENOMAD.124202.CP	5.103e-52	185	0	0	0	1	NA	NA	NA	PF01614;PF01475;K19333;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
NODE_2_length_159602_cov_25.125179_8	6253	6711	459	-1	0.394	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_9	6721	7116	396	-1	0.439	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_10	7255	8187	933	1	0.405	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_11	8288	9631	1344	-1	0.408	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_12	9928	10806	879	1	0.380	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_13	10899	11630	732	-1	0.362	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_14	11754	13031	1278	1	0.388	11	TAA	GENOMAD.196181.PC	1.489e-206	642	0	0	0	1	NA	NA	NA	COG0471;K03299	Di- and tricarboxylate transporter
NODE_2_length_159602_cov_25.125179_15	13039	13851	813	1	0.391	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_16	13861	15201	1341	1	0.386	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_17	15397	15537	141	-1	0.284	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_18	15931	16392	462	-1	0.286	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_19	16415	22840	6426	-1	0.370	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_20	22865	24610	1746	-1	0.396	11	TACAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_21	24859	25407	549	-1	0.333	11	TAA	GENOMAD.116275.CP	3.313e-05	46	0	0	0	1	NA	NA	NA	PF16925;PF13022;K16137;TIGR03384;COG3226	transcriptional repressor BetI
NODE_2_length_159602_cov_25.125179_22	26115	26219	105	-1	0.229	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_23	26353	27699	1347	1	0.398	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_24	27917	28642	726	1	0.289	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_25	28687	30525	1839	-1	0.411	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_26	30761	32245	1485	-1	0.374	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_27	32391	33317	927	-1	0.371	11	TAA	GENOMAD.178981.PC	0.0001268	46	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_28	33470	34111	642	1	0.393	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_159602_cov_25.125179_29	34151	34447	297	1	0.360	11	None	GENOMAD.177079.CP	0.0001906	41	0	0	0	1	NA	NA	NA	PF03992;COG1359;K11530;TIGR03792	Quinol monooxygenase YgiN
NODE_2_length_159602_cov_25.125179_30	34632	35201	570	1	0.407	11	None	GENOMAD.137459.CP	8.381e-07	51	0	0	0	1	NA	NA	NA	PF16295;PF00440;K18136;TIGR03384;COG1309	transcriptional repressor BetI
