gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_1_length_242023_cov_46.139858_1	210	734	525	1	0.371	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_2	896	1330	435	1	0.366	11	AGxAG	GENOMAD.154104.PC	7.661e-16	76	0	0	0	1	NA	NA	NA	PF11720;PF16339;COG5510	Peptidase inhibitor I78 family
NODE_1_length_242023_cov_46.139858_3	1531	1629	99	1	0.323	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_4	2191	3126	936	1	0.418	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_5	3184	4092	909	-1	0.371	11	GGA/GAG/AGG	GENOMAD.148296.CP	3.443e-35	139	0	0	0	1	NA	NA	NA	PF16913;K03298;COG5006;TIGR03340	Purine nucleobase transmembrane transport
NODE_1_length_242023_cov_46.139858_6	4453	5193	741	1	0.375	11	None	GENOMAD.126222.CP	1.02e-07	55	0	0	0	1	NA	NA	NA	PF07840;TIGR03338;K22293;COG1802	phosphonate utilization associated transcriptional regulator
NODE_1_length_242023_cov_46.139858_7	5362	6294	933	1	0.429	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_8	6291	7394	1104	1	0.441	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_9	7395	7625	231	1	0.437	11	AGGAG	GENOMAD.160289.CP	5.854e-22	90	0	0	0	1	NA	NA	NA	PF13510;K22550;COG3383;TIGR01973	Predicted molibdopterin-dependent oxidoreductase YjgC
NODE_1_length_242023_cov_46.139858_10	7625	8887	1263	1	0.454	11	GGA/GAG/AGG	GENOMAD.133542.CP	4.866e-28	121	0	0	0	1	NA	NA	NA	PF01134;PF17806;K24954;COG1251;TIGR01372	NAD(P)H-nitrite reductase, large subunit
NODE_1_length_242023_cov_46.139858_11	8932	9684	753	1	0.372	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_12	9750	11039	1290	-1	0.412	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_13	11198	12778	1581	-1	0.455	11	GGAG/GAGG	GENOMAD.168696.PC	1.712e-120	398	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
NODE_1_length_242023_cov_46.139858_14	12931	14502	1572	-1	0.427	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_15	14952	16331	1380	1	0.413	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_16	16375	18477	2103	-1	0.431	11	AGGAG	GENOMAD.148027.CP	1.064e-11	71	0	0	0	1	NA	NA	NA	PF19315;COG2030;K18290;TIGR01750	Acyl dehydratase
NODE_1_length_242023_cov_46.139858_17	18695	19681	987	1	0.437	11	None	GENOMAD.160626.CP	5.935e-160	502	0	0	0	1	NA	NA	NA	PF05138;K02609;TIGR02156;COG3396	phenylacetate-CoA oxygenase, PaaG subunit
NODE_1_length_242023_cov_46.139858_18	19690	20004	315	1	0.400	11	None	GENOMAD.177370.CP	6.898e-33	123	0	0	0	1	NA	NA	NA	PF06243;COG3460;TIGR02157	1,2-phenylacetyl-CoA epoxidase, PaaB subunit
NODE_1_length_242023_cov_46.139858_19	20017	20772	756	1	0.409	11	GGA/GAG/AGG	GENOMAD.168243.CP	1.001e-80	269	0	0	0	1	NA	NA	NA	PF05138;K02611;TIGR02158;COG3396	phenylacetate-CoA oxygenase, PaaI subunit
NODE_1_length_242023_cov_46.139858_20	20789	21289	501	1	0.433	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_21	21313	22374	1062	1	0.408	11	AGGA	GENOMAD.138179.CP	1.434e-53	195	0	0	0	1	NA	NA	NA	PF05138;PF00175;K02613;TIGR02158;COG3396	phenylacetate-CoA oxygenase, PaaI subunit
NODE_1_length_242023_cov_46.139858_22	22383	23156	774	1	0.448	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_23	23156	23947	792	1	0.443	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_24	23950	25488	1539	1	0.427	11	GGA/GAG/AGG	GENOMAD.213112.PC	1.026e-06	54	0	0	0	1	NA	NA	NA	PF18321	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain
NODE_1_length_242023_cov_46.139858_25	25501	26709	1209	1	0.454	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_26	26750	28039	1290	1	0.430	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_27	28093	29058	966	1	0.405	11	None	GENOMAD.182147.CP	3.022e-31	128	0	0	0	1	NA	NA	NA	PF08223;PF07848;K02616;TIGR02277;COG3327	phenylacetic acid degradation operon negative regulatory protein PaaX
NODE_1_length_242023_cov_46.139858_28	29045	29650	606	1	0.417	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_29	29728	30111	384	1	0.443	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_30	30290	30787	498	1	0.291	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_31	30762	31610	849	1	0.277	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_32	31665	32861	1197	-1	0.242	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_33	32916	33251	336	-1	0.375	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_34	33593	33754	162	-1	0.315	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_35	34324	34926	603	1	0.363	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_36	35127	35753	627	1	0.319	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_37	35872	36936	1065	1	0.437	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_38	36949	37521	573	1	0.428	11	AGGAG	GENOMAD.151626.CP	1.309e-48	173	0	0	0	1	NA	NA	NA	PF01292;K12262;COG3038;TIGR02125	Cytochrome b561
NODE_1_length_242023_cov_46.139858_39	37661	37945	285	-1	0.439	11	GGA/GAG/AGG	GENOMAD.178368.CP	1.769e-11	61	0	0	0	1	NA	NA	NA	PF07045;COG5470	Uncharacterized conserved protein, DUF1330 family
NODE_1_length_242023_cov_46.139858_40	38008	38670	663	-1	0.391	11	4Base/6BMM	GENOMAD.126222.CP	1.542e-08	57	0	0	0	1	NA	NA	NA	PF07840;TIGR03338;K22293;COG1802	phosphonate utilization associated transcriptional regulator
NODE_1_length_242023_cov_46.139858_41	38823	39425	603	1	0.438	11	AGGA	GENOMAD.180862.PC	1.49e-103	332	0	0	0	1	NA	NA	NA	PF06684	Amino acid synthesis
NODE_1_length_242023_cov_46.139858_42	39394	40185	792	1	0.438	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_43	40216	41148	933	1	0.404	11	AGGA	GENOMAD.140649.CP	2.49e-22	101	0	0	0	1	NA	NA	NA	PF01613;K23462;TIGR03615;COG1853	pyrimidine utilization flavin reductase protein F
NODE_1_length_242023_cov_46.139858_44	41151	42188	1038	1	0.429	11	GGAG/GAGG	GENOMAD.121819.CP	4.466e-145	460	0	0	0	1	NA	NA	NA	PF00296;K23464;TIGR04027;COG2141	putative FMN-dependent luciferase-like monooxygenase, KPN_01858 family
NODE_1_length_242023_cov_46.139858_45	42200	43669	1470	1	0.464	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_46	43974	45380	1407	1	0.409	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_47	45406	46575	1170	1	0.404	11	AGGA	GENOMAD.180882.CP	5.176e-49	183	0	0	0	1	NA	NA	NA	COG3746;K07221	Phosphate-selective porin
NODE_1_length_242023_cov_46.139858_48	46714	48171	1458	1	0.410	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_49	48168	48551	384	1	0.380	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_50	48615	49520	906	-1	0.419	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_51	49619	50215	597	1	0.412	11	GGAG/GAGG	GENOMAD.153566.CP	4.321e-05	46	0	0	0	1	NA	NA	NA	PF02525;K01118;COG1182;TIGR02690	Flavodoxin-like fold
NODE_1_length_242023_cov_46.139858_52	50272	51087	816	-1	0.429	11	AGGA	GENOMAD.123582.CP	8.327e-11	65	0	0	0	1	NA	NA	NA	PF01614;PF14277;K10973;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
NODE_1_length_242023_cov_46.139858_53	51229	52443	1215	1	0.416	11	AGGA	GENOMAD.178036.PC	4.448e-37	148	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_54	52619	53341	723	1	0.415	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_55	53433	54470	1038	1	0.400	11	None	GENOMAD.134084.CP	1.366e-113	369	0	0	0	1	NA	NA	NA	PF13343;K02012;TIGR03261;COG4143	putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein
NODE_1_length_242023_cov_46.139858_56	54493	55695	1203	1	0.399	11	GGA/GAG/AGG	GENOMAD.126777.CP	1.108e-09	63	0	0	0	1	NA	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
NODE_1_length_242023_cov_46.139858_57	55689	57398	1710	1	0.391	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242023_cov_46.139858_58	57500	58654	1155	1	0.414	11	GGA/GAG/AGG	GENOMAD.147812.CP	1.875e-21	100	0	0	0	1	NA	NA	NA	PF01266;K21061;TIGR03364;COG0665	FAD dependent oxidoreductase TIGR03364
NODE_1_length_242023_cov_46.139858_59	58681	59868	1188	1	0.412	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
